Order Date,Order Time,Restaurant ID,Order ID,Quantities Ordered,Cancellation Mode,Reason of Rejection
2023-07-03,3:00:23 AM,1200,289602173,1,Order cancelled through app,Customer Refusal
2023-07-03,5:01:26 AM,1155,289603026,1,Order cancelled through app,Customer Refusal
2023-07-03,6:46:19 AM,1145,289605604,1,Order cancelled through app,Customer Refusal
2023-07-03,6:52:53 AM,1117,289605729,1,Order cancelled through app,Customer Refusal
2023-07-03,6:53:37 AM,1129,289605754,1,Order cancelled through app,Customer Refusal
2023-07-03,7:59:17 AM,1346,289609301,1,Order cancelled through app,Customer Refusal
2023-07-03,8:11:57 AM,1084,289613735,1,Cancelled by Restaurant,Stock Shortage
2023-07-03,8:17:19 AM,1395,289615925,1,Order cancelled through app,Customer Refusal
2023-07-03,8:21:29 AM,1346,289617664,1,Order cancelled through app,Customer Refusal
2023-07-03,8:46:38 AM,1135,289627786,1,Cancelled by Restaurant,Item Unavailable
2023-07-03,8:49:14 AM,1135,289628675,1,Cancelled by Restaurant,Item Unavailable
2023-07-03,9:05:48 AM,1346,289633809,1,Order cancelled through app,Customer Refusal
2023-07-03,8:48:12 AM,1395,289628333,1,Order cancelled through app,Customer Refusal
2023-07-03,8:49:33 AM,1284,289628762,1,Order cancelled through app,Customer Refusal
2023-07-03,9:27:50 AM,1104,289642040,2,Cancelled by Restaurant,Customer Refusal
2023-07-03,8:34:41 AM,1002,289623461,1,Order cancelled through app,Customer Refusal
2023-07-03,9:32:25 AM,1284,289643766,1,Order cancelled through app,Customer Refusal
2023-07-03,9:39:24 AM,1104,289646516,1,Cancelled by Restaurant,Customer Refusal
2023-07-03,9:46:07 AM,1002,289649018,1,Order cancelled through app,Customer Refusal
2023-07-03,9:36:18 AM,1002,289645290,1,Order cancelled through app,Customer Refusal
2023-07-03,9:45:59 AM,1396,289648963,1,Order cancelled through app,Customer Refusal
2023-07-03,9:54:35 AM,1084,289652167,1,Order cancelled through app,Customer Refusal
2023-07-03,10:28:39 AM,1002,289663178,1,Order cancelled through app,Customer Refusal
2023-07-03,10:33:16 AM,1104,289664452,1,Cancelled by Restaurant,High Demand at the Restaurant
2023-07-03,11:01:59 AM,1084,289672433,1,Cancelled by Restaurant,Stock Shortage
2023-07-03,11:08:30 AM,1200,289674491,2,Order cancelled through app,Customer Refusal
2023-07-03,11:25:22 AM,1002,289679260,2,Order cancelled through app,Customer Refusal
2023-07-03,12:01:56 PM,1074,289688545,2,Order cancelled through app,Customer Refusal
2023-07-03,12:17:55 PM,1377,289694177,1,Order cancelled through app,Customer Refusal
2023-07-03,12:33:19 PM,1395,289701191,1,Order cancelled through app,Customer Refusal
2023-07-03,12:35:47 PM,1390,289702881,1,Order cancelled through app,Customer Refusal
