Order ID,Product ID,Product Name,Product Price,Quantity Ordered ,Total Value,Is Packaged Item?,Is Buffet Item?
289857206,68759,Veg Soft Noodles,165,1,165,No,No
290782923,68829,Watermelon Juice,49,1,49,No,No
290842163,68838,Pomegranate Juice,99,2,198,No,No
289896083,68838,Pomegranate Juice,99,2,198,No,No
290997355,69028,Chicken Club Sandwich,185,1,185,No,No
290120649,75383,Herb Grilled Chicken,169,1,169,No,No
291524258,90646,Water bottle 500ml,20,2,40,Yes,Yes
291715003,95868,Veg Grilled Sandwich,79,4,316,No,No
290049216,121044,Peri Peri Chicken 6inch Sub,225,1,225,No,No
291614532,123309,1 pcs Gulab Jamun 40gms,13,1,13,No,Yes
291353668,123333,Chapathi Veg curry,54,1,54,No,Yes
290770605,123333,Chapathi Veg curry,54,1,54,No,Yes
291242815,194309,Parcel Charge - Small,10,3,30,Yes,Yes
289972302,209849,Water Melon Juice,35,1,35,No,Yes
289972022,209849,Water Melon Juice,35,1,35,No,Yes
289971887,209849,Water Melon Juice,35,1,35,No,Yes
289971744,209849,Water Melon Juice,35,1,35,No,Yes
289972302,209965,Paneer Veg Sandwiches,55,1,55,No,Yes
289972022,209965,Paneer Veg Sandwiches,55,1,55,No,Yes
289971887,209965,Paneer Veg Sandwiches,55,1,55,No,Yes
289971744,209965,Paneer Veg Sandwiches,55,1,55,No,Yes
290415444,222381,Veg Fried Rice,60,1,60,No,Yes
290754410,255963,Patties (Veg) (50 Gms),23,1,23,No,No
289952702,298838,Double Egg Fried Rice,200,1,200,No,No
290052553,311358,Boost,16,1,16,No,Yes
289916884,311358,Boost,16,1,16,No,Yes
290337229,356346,Coconut Cookies (2pcs) 15grm,10,1,10,No,Yes
290309047,356346,Coconut Cookies (2pcs) 15grm,10,1,10,No,Yes
290309047,356347,Salt Cookies (2pcs) 15Grm,10,1,10,No,Yes
290700010,373505,Chocolate Milk Shake,30,1,30,Yes,Yes
290851637,443343,Samosa 1 no's,15,1,15,No,Yes
290377563,443343,Samosa 1 no's,15,1,15,No,Yes
290336536,443343,Samosa 1 no's,15,1,15,No,Yes
289875411,443343,Samosa 1 no's,15,1,15,No,Yes
291446454,446051,Aloo paratha,60.5,1,60.5,No,Yes
290408181,446051,Aloo paratha,60.5,1,60.5,No,Yes
290319629,446052,Plain Dosa,38.5,1,38.5,No,Yes
289612237,446052,Plain Dosa,38.5,1,38.5,No,Yes
290867356,446073,Ragi masala dosa,46.2,1,46.2,No,Yes
291655161,449930,Dahi Puri,33,1,33,No,Yes
290793999,449930,Dahi Puri,33,1,33,No,Yes
290854750,454836,Exotic Seafood Combo,310,1,310,No,No
291256302,464367,Tea,13,1,13,No,No
290378645,465867,Grapes Juice,35,2,70,No,No
289770656,468246,Combo Meals Veg,100,1,100,No,No
289920779,470005,Paneer Veg Grill,40,1,40,No,No
289777677,470050,Water Melon Juice,25,1,25,No,No
289777677,470052,Pineapple Juice,25,1,25,No,No
289803393,470081,Strawberry Milkshakes,30,1,30,No,No
291248210,486332,MRP 30,30,1,30,No,No
291270198,486334,MRP 50,50,2,100,No,No
291700252,494645,MRP 20,20,1,20,No,Yes
291281272,494645,MRP 20,20,1,20,No,Yes
291699992,494645,MRP 20,20,2,40,No,Yes
291662276,494645,MRP 20,20,3,60,No,Yes
291319642,494645,MRP 20,20,1,20,No,Yes
291708662,494645,MRP 20,20,2,40,No,Yes
289920713,494645,MRP 20,20,1,20,No,Yes
289891568,494645,MRP 20,20,1,20,No,Yes
289892733,494647,MRP 20,20,1,20,No,No
291460481,494653,MRP 30,30,1,30,No,No
291236896,494653,MRP 30,30,1,30,No,No
290380540,494653,MRP 30,30,1,30,No,No
289894423,494653,MRP 30,30,1,30,No,No
290998231,494653,MRP 30,30,3,90,No,No
290836847,494660,MRP 30,30,1,30,No,No
291618430,495973,MRP 45,45,2,90,Yes,Yes
291280603,495975,MRP 45,45,1,45,No,Yes
291354648,495975,MRP 45,45,1,45,No,Yes
291669276,495975,MRP 45,45,1,45,No,Yes
291123651,499970,Sabudana Vada With Curd / Chutney,40,1,40,No,Yes
291152186,499970,Sabudana Vada With Curd / Chutney,40,1,40,No,Yes
291120623,499970,Sabudana Vada With Curd / Chutney,40,1,40,No,Yes
289845197,542247,Chole Rice,44,1,44,No,Yes
289765650,548196,Mediterranean Veggie/Pizzalo Spl - Panini,125,1,125,No,Yes
291631823,558152,MRP 5,5,1,5,No,No
290082697,558152,MRP 5,5,4,20,No,No
290998231,558152,MRP 5,5,3,15,No,No
291700252,558153,MRP 5,5,1,5,No,Yes
291281272,558153,MRP 5,5,1,5,No,Yes
291699992,558153,MRP 5,5,1,5,No,Yes
291662276,558153,MRP 5,5,1,5,No,Yes
291636286,558153,MRP 5,5,1,5,No,Yes
291213678,558153,MRP 5,5,1,5,No,Yes
291654366,558153,MRP 5,5,6,30,No,Yes
291631947,558153,MRP 5,5,1,5,No,Yes
291218068,558153,MRP 5,5,2,10,No,Yes
291669276,558153,MRP 5,5,1,5,No,Yes
291668732,558153,MRP 5,5,1,5,No,Yes
290722657,558153,MRP 5,5,1,5,No,Yes
289857581,558153,MRP 5,5,2,10,No,Yes
290736577,558153,MRP 5,5,6,30,No,Yes
290760280,559393,Cappuccino Coffee,70,1,70,No,No
290760280,559397,Americano Coffee,70,1,70,No,No
291207531,560240,Sambar Rice,95,1,95,No,No
290273301,560240,Sambar Rice,95,1,95,No,No
291688623,564473,Tea,10,1,10,No,Yes
289835731,564473,Tea,10,1,10,No,Yes
290161463,571744,Non Veg Lunch,84,1,84,No,Yes
290161491,571744,Non Veg Lunch,84,1,84,No,Yes
290315216,579984,Veg Puff,20,2,40,No,No
290757562,579984,Veg Puff,20,1,20,No,No
289763395,580237,Chapati,5,1,5,No,Yes
289754671,580237,Chapati,5,1,5,No,Yes
290693877,580538,Singapore Noodles - Egg,94,1,94,No,No
290832349,582158,Aloo Vada Sambhar,35,1,35,No,Yes
290211546,583899,Chicken biryani,89,1,89,No,Yes
289973651,584763,Veg Kathi Roll,25,1,25,No,Yes
291757576,584765,Paneer Kathi Roll,30,1,30,No,Yes
290342007,584765,Paneer Kathi Roll,30,1,30,No,Yes
289973797,584789,Bread Omelette,20,1,20,No,Yes
291662490,584957,Cold Drinks,20,1,20,Yes,Yes
290280452,584957,Cold Drinks,20,1,20,Yes,Yes
291182157,584957,Cold Drinks,20,1,20,Yes,Yes
290271415,584957,Cold Drinks,20,3,60,Yes,Yes
291472743,585560,Chatni,6,1,6,No,Yes
291474121,585573,Khichuri Combo 1,57,1,57,No,Yes
291473013,585573,Khichuri Combo 1,57,1,57,No,Yes
291352093,585579,Chicken Roll 1 Pc,43,1,43,No,Yes
290881003,585641,Veg Maggi,24,1,24,No,Yes
290952220,586869,Veg Puff,13,1,13,No,No
291537065,588184,Aloo Paratha,60,1,60,No,Yes
290735142,588255,Packaged Drinking Water 500 ml,10,1,10,Yes,Yes
289938761,588610,Puff (Veg),30,1,30,No,No
289881344,588610,Puff (Veg),30,1,30,No,No
289756234,594137,Mini Meal (Chappati/Rice),65,1,65,No,Yes
291431140,594884,Idli,35,2,70,No,No
291012735,595293,Veg Biryani,152.25,1,152.25,No,Yes
290848111,596646,Veg Maggi,35,1,35,No,No
291383470,598398,MOMs Magic Butter,10,1,10,Yes,Yes
290852461,598931,Bhel puri,33,1,33,No,Yes
289906468,598931,Bhel puri,33,1,33,No,Yes
290263700,599257,Avacado Milk shake,55,1,55,No,Yes
291353987,600287,Veg Manchurian,155,1,155,No,No
291353956,600287,Veg Manchurian,155,1,155,No,No
291742176,600300,Chicken Crispy,170,1,170,No,No
291369815,600300,Chicken Crispy,170,1,170,No,No
291741896,600300,Chicken Crispy,170,1,170,No,No
289971869,600399,Chicken Chopper Rice (Chicken),200,1,200,No,No
290825837,600545,Parle Aloo Bhujia,10,1,10,Yes,Yes
290289568,601521,Fruit Salad,43,1,43,No,No
289890258,611121,Black Forest Cake (500 Gms),480,1,480,No,No
290837078,612586,Bombay Masala Toastie,167,1,167,No,No
289868519,612586,Bombay Masala Toastie,167,1,167,No,No
289957373,612610,Plain Paratha,61.96,1,61.96,No,No
290338440,612619,Classic Lassi,50,2,100,No,No
290732812,612623,Kesar Badam Milk,80,1,80,No,No
290678515,612703,Pav Bhaji 300 Gm,99,1,99,No,No
291267792,612725,Samosa 1 Pc,20,10,200,No,No
290811823,612744,Rusky Milk 250 Gm,35,1,35,No,No
291595089,612767,Falhari Chiwda 150Gm,30,1,30,No,No
289819084,612829,Miss. Soan Papdi 200 Ml,179,1,179,No,No
291015105,615190,Aloo Toast,37,1,37,No,No
291476696,617619,Red Lime,30,1,30,No,No
